I_time,I_voltage,II_time,II_voltage,III_time,III_voltage,aVR_time,aVR_voltage,aVL_time,aVL_voltage,aVF_time,aVF_voltage,V1_time,V1_voltage,V2_time,V2_voltage,V3_time,V3_voltage,V4_time,V4_voltage,V5_time,V5_voltage,V6_time,V6_voltage,heart_rate_bpm
0.298,0.2867129780974213,0.298,0.2488035305655501,0.298,0.3200000000000038,0.298,0.27500000000000513,0.298,0.505000000000002,0.298,0.27500490356326246,0.298,0.25817423994769895,0.298,0.3598365478914727,0.298,0.2974403399803904,0.298,0.3280075187969972,0.298,0.297468126838841,0.298,0.2659104282445303,113.20754716981132
0.3,0.2876675384112494,0.3,0.24829846355018562,0.3,0.3200000000000038,0.3,0.27500000000000513,0.3,0.505000000000002,0.3,0.27791925465839157,0.3,0.26163452108532553,0.3,0.3705067015364546,0.3,0.30609022556391424,0.3,0.3344671461261895,0.3,0.3041712978097464,0.3,0.27062438705459907,113.20754716981132
0.302,0.2889424648578005,0.302,0.2477688787185413,0.302,0.3200000000000038,0.302,0.2752795031055951,0.302,0.505000000000002,0.302,0.2812618502778749,0.302,0.2650490356325631,0.302,0.38287021902583,0.302,0.3150882641386117,0.302,0.33873161163779436,0.302,0.3099869238313219,0.302,0.2754789146780053,113.20754716981132
0.304,0.29008662961752585,0.304,0.24723112128147037,0.304,0.3200000000000038,0.304,0.2754037267080796,0.304,0.505000000000002,0.304,0.28440993788820507,0.304,0.26767080745341953,0.304,0.39570774762994876,0.304,0.3244949329846395,0.304,0.34061294540699993,0.304,0.3146289637136362,0.304,0.28069794050343816,113.20754716981132
0.306,0.29064890487087663,0.306,0.24670153644982606,0.306,0.3200000000000038,0.306,0.2753890160183117,0.306,0.505000000000002,0.306,0.28692873488068615,0.306,0.2694834913370416,0.306,0.4087201699901968,0.306,0.3338296829029133,0.306,0.3405786204642081,0.306,0.3185746976136034,0.306,0.28481366459627894,113.20754716981132
0.308,0.29089244851258955,0.308,0.2459169663288715,0.308,0.3200000000000038,0.308,0.2752517162471447,0.308,0.505000000000002,0.308,0.28883458646617166,0.308,0.27075024517816604,0.308,0.41914351095129493,0.308,0.3412487741091896,0.308,0.33813501144165176,0.308,0.3209055246812724,0.308,0.28872180451128376,113.20754716981132
0.31,0.2908009153318115,0.31,0.24504903563256555,0.31,0.3200000000000038,0.31,0.27500817260543176,0.31,0.505000000000002,0.31,0.29014383785551445,0.31,0.2710199411572442,0.31,0.4294524354364205,0.31,0.3463108859104316,0.31,0.3335354691075556,0.31,0.3209071592023578,0.31,0.2914547237659419,113.20754716981132
0.312,0.2903579601176893,0.312,0.24397352075842377,0.312,0.3200000000000038,0.312,0.274674730304026,0.312,0.505000000000002,0.312,0.290872834259568,0.312,0.27029257927427586,0.312,0.436268388362213,0.312,0.34823635174894085,0.312,0.32687806472703906,0.312,0.3190470742072613,0.312,0.29324288983328417,113.20754716981132
0.314,0.28954723765936957,0.314,0.24242562929062383,0.314,0.3200000000000038,0.314,0.27398823144819084,0.314,0.505000000000002,0.314,0.2910379208891855,0.314,0.26901928734881003,0.314,0.4396992481203037,0.314,0.3471641059169696,0.314,0.3194589735207626,0.314,0.3153579601176895,0.314,0.29379045439686696,113.20754716981132
0.316,0.288524027459958,0.316,0.24209545603138893,0.316,0.3200000000000038,0.316,0.2731203007518848,0.316,0.505000000000002,0.316,0.2903759398496301,0.316,0.26693690748610976,0.316,0.4396387708401466,0.316,0.34526969597908125,0.316,0.3110706113108901,0.316,0.3094377247466533,0.316,0.2928179143511004,113.20754716981132
0.318,0.28789473684210903,0.318,0.24286858450474622,0.318,0.3200000000000038,0.318,0.2722262177182137,0.318,0.505000000000002,0.318,0.2883278849297217,0.318,0.2640617848970284,0.318,0.4356587119973876,0.318,0.34091042824452744,0.318,0.3022687152664312,0.318,0.30313991500490767,0.318,0.2903252696959844,113.20754716981132
0.32,0.28737986270023264,0.32,0.24463059823472336,0.32,0.3200000000000038,0.32,0.2717244197450199,0.32,0.505000000000002,0.32,0.2860264792415884,0.32,0.260861392611968,0.32,0.42854527623406613,0.32,0.33410918600850253,0.32,0.293190585158553,0.32,0.29636319058516275,0.32,0.2872147760706166,113.20754716981132
0.322,0.2869794050343287,0.322,0.24810559006211783,0.322,0.3200000000000038,0.322,0.2715822164105968,0.322,0.505000000000002,0.322,0.28342268715267055,0.322,0.2575400457665937,0.322,0.4182314481856844,0.322,0.3247335730630957,0.322,0.2842693690748656,0.322,0.28914677999346616,0.322,0.2834112455050723,113.20754716981132
0.324,0.2869728669499874,0.324,0.25215429879046036,0.324,0.3200000000000038,0.324,0.2717669172932382,0.324,0.505000000000002,0.324,0.28046747303040837,0.324,0.25431840470742406,0.324,0.4045112781954916,0.324,0.31518633540373,0.324,0.2759545603138327,0.324,0.281825760052309,0.324,0.27913533834587,113.20754716981132
0.326,0.28720496894410313,0.326,0.2566639424648636,0.326,0.3200000000000038,0.326,0.2722458319712376,0.326,0.505000000000002,0.326,0.2778424321673813,0.326,0.2514334749918308,0.326,0.3885485452762371,0.326,0.3047499182739491,0.326,0.26826086956522216,0.326,0.27520268061458436,0.326,0.2746240601503813,113.20754716981132
0.32799999999999996,0.2872572736188334,0.32799999999999996,0.26082379862700805,0.32799999999999996,0.3200000000000038,0.32799999999999996,0.27354527623406855,0.32799999999999996,0.505000000000002,0.32799999999999996,0.27570284406669476,0.32799999999999996,0.24868747956848988,0.32799999999999996,0.3720709382151062,0.32799999999999996,0.29474338018960794,0.32799999999999996,0.26148251062439193,0.32799999999999996,0.268931023210204,0.32799999999999996,0.2701307616868312,113.20754716981132
0.33,0.28716247139588474,0.33,0.26418273945734455,0.33,0.3200000000000038,0.33,0.2747629944426334,0.33,0.505000000000002,0.33,0.2746878064727098,0.33,0.24661327231121632,0.33,0.35542661000327247,0.33,0.2846224256292943,0.33,0.25591369728670005,0.33,0.2636744033998086,0.33,0.2659251389342978,113.20754716981132
0.332,0.28695325269696353,0.332,0.26674076495587357,0.332,0.3200000000000038,0.332,0.2758989865969323,0.332,0.505000000000002,0.332,0.27458319712324925,0.332,0.24502942137953926,0.332,0.3395717554756492,0.332,0.2751323962079149,0.332,0.2518486433475043,0.332,0.259382151029753,0.332,0.26229323308271235,113.20754716981132
0.334,0.2866623079437762,0.334,0.2684978751225947,0.334,0.3200000000000038,0.334,0.2769532526969649,0.334,0.505000000000002,0.334,0.27475645635829327,0.334,0.24403399803857823,0.334,0.3250604772801608,0.334,0.2667554756456398,0.334,0.24958156260216288,0.334,0.2562830990519826,0.334,0.2590863027133106,113.20754716981132
0.336,0.28604282445243917,0.336,0.269454069957508,0.336,0.3200000000000038,0.336,0.2776462896371414,0.336,0.505000000000002,0.336,0.2753056554429614,0.336,0.24372507355345238,0.336,0.3123079437724788,0.336,0.2595390650539433,0.336,0.24940666884603346,0.336,0.25460608041844224,0.336,0.2564351095129184,113.20754716981132
0.33799999999999997,0.28528277214776443,0.33799999999999997,0.2696093494606136,0.33799999999999997,0.3200000000000038,0.33799999999999997,0.27841288002615744,0.33799999999999997,0.505000000000002,0.33799999999999997,0.276328865642373,0.33799999999999997,0.2437495913697323,0.33799999999999997,0.3015740438051694,0.33799999999999997,0.2538100686498898,0.33799999999999997,0.24936253677672982,0.33799999999999997,0.2536776724419794,0.33799999999999997,0.2544704151683614,113.20754716981132
0.34,0.28483327884930093,0.34,0.26700719189278105,0.34,0.3200000000000038,0.34,0.2792366786531597,0.34,0.505000000000002,0.34,0.2779241582216473,0.34,0.24446878064727398,0.34,0.2933981693363889,0.34,0.24989539065054373,0.34,0.2497057862046475,0.34,0.2533507682249151,0.34,0.2533229813664654,113.20754716981132
0.342,0.2846943445570486,0.342,0.2646910755148798,0.342,0.3200000000000038,0.342,0.27982183720170506,0.342,0.505000000000002,0.342,0.27883622098725697,0.342,0.244610983981697,0.342,0.2883197123242936,0.342,0.24812193527296947,0.342,0.2496338672768934,0.342,0.25344557044786375,0.342,0.2531235697940562,113.20754716981132
0.344,0.2841353383458685,0.344,0.2625465838509373,0.344,0.3200000000000038,0.344,0.28013566525008693,0.344,0.505000000000002,0.344,0.2790503432494342,0.344,0.2445962732919291,0.344,0.28507355344884433,0.344,0.24791435109513366,0.344,0.24946060804184925,0.344,0.2537495913697337,0.344,0.2535518143184106,113.20754716981132
0.34600000000000003,0.28385420071919315,0.34600000000000003,0.2604593004249812,0.34600000000000003,0.3200000000000038,0.34600000000000003,0.28040863027133556,0.34600000000000003,0.505000000000002,0.34600000000000003,0.2786907486106633,0.34600000000000003,0.24472049689441358,0.34600000000000003,0.28344720496894904,0.34600000000000003,0.24832134684537893,0.34600000000000003,0.24935926773455935,0.34600000000000003,0.2544687806472754,0.34600000000000003,0.25364825106244454,113.20754716981132
0.348,0.283818241255316,0.348,0.25971232428898905,0.348,0.3200000000000038,0.348,0.28059169663289163,0.348,0.505000000000002,0.348,0.2780369401765345,0.348,0.24500000000000366,0.348,0.2822605426610054,0.348,0.24843412880026616,0.348,0.24920725727362436,0.348,0.25461098398169846,0.348,0.2543167701863413,113.20754716981132
0.35000000000000003,0.28399476953253083,0.35000000000000003,0.258468453743059,0.35000000000000003,0.3200000000000038,0.35000000000000003,0.28063582870219533,0.35000000000000003,0.505000000000002,0.35000000000000003,0.27708891794704776,0.35000000000000003,0.24500000000000366,0.35000000000000003,0.2835011441647649,0.35000000000000003,0.24844393592677816,0.35000000000000003,0.2493167701863409,0.35000000000000003,0.2545962732919306,0.35000000000000003,0.2547204968944158,113.20754716981132
0.35200000000000004,0.284071592023541,0.35200000000000004,0.2571624713958866,0.35200000000000004,0.3200000000000038,0.35200000000000004,0.2804919908466869,0.35200000000000004,0.505000000000002,0.35200000000000004,0.2758466819222031,0.35200000000000004,0.24500000000000366,0.35200000000000004,0.28341941811049887,0.35200000000000004,0.24866459627329662,0.35200000000000004,0.24972049689441547,0.35200000000000004,0.25472049689441506,0.35200000000000004,0.25500000000000583,113.20754716981132
0.354,0.28445080091533564,0.354,0.25598234717228413,0.354,0.3197204968944138,0.354,0.28011114743380694,0.354,0.505000000000002,0.354,0.2740307289964103,0.354,0.24500000000000366,0.354,0.2837920889179523,0.354,0.249285714285719,0.354,0.25000000000000555,0.354,0.25500000000000517,0.354,0.25500000000000583,113.20754716981132
0.35600000000000004,0.28508336057535527,0.35600000000000004,0.2562226217718265,0.35600000000000004,0.3195962732919293,0.35600000000000004,0.27989539065054436,0.35600000000000004,0.505000000000002,0.35600000000000004,0.27179633867277525,0.35600000000000004,0.24500000000000366,0.35600000000000004,0.28395554102648457,0.35600000000000004,0.25038901601831137,0.35600000000000004,0.25000000000000555,0.35600000000000004,0.25500000000000517,0.35600000000000004,0.25500000000000583,113.20754716981132
0.358,0.28609186008499893,0.358,0.2568796992481259,0.358,0.31961098398169724,0.358,0.27998365478915177,0.358,0.505000000000002,0.358,0.26973357306309886,0.358,0.24500000000000366,0.358,0.283927754168034,0.358,0.25025171624714426,0.358,0.25000000000000555,0.358,0.25500000000000517,0.358,0.2552795031055959,113.20754716981132
0.36,0.28759888852566584,0.36,0.258067996077155,0.36,0.31974828375286424,0.36,0.2810902255639147,0.36,0.505000000000002,0.36,0.2688836220987315,0.36,0.24500000000000366,0.36,0.28431677018634066,0.36,0.2500081726054313,0.36,0.25000000000000555,0.36,0.25500000000000517,0.36,0.25540372670808037,113.20754716981132
0.36200000000000004,0.2895554102647963,0.36200000000000004,0.2599019287348863,0.36200000000000004,0.3199918273945772,0.36200000000000004,0.282066034651852,0.36200000000000004,0.505000000000002,0.36200000000000004,0.268687479568493,0.36200000000000004,0.24500000000000366,0.36200000000000004,0.28472049689441525,0.36200000000000004,0.24967473030402562,0.36200000000000004,0.25000000000000555,0.36200000000000004,0.25500000000000517,0.36200000000000004,0.2553890160183125,113.20754716981132
0.364,0.2919123896698306,0.364,0.2611425302386458,0.364,0.32032526969598296,0.364,0.28322327558025995,0.364,0.505000000000002,0.364,0.26914514547238316,0.364,0.24500000000000366,0.364,0.28500000000000536,0.364,0.24926773455378043,0.364,0.25000000000000555,0.364,0.25500000000000517,0.364,0.25525171624714543,113.20754716981132
0.36600000000000005,0.2938901601830702,0.36600000000000005,0.26224256292906756,0.36600000000000005,0.3207322654462281,0.36600000000000005,0.28415985616214945,0.36600000000000005,0.505000000000002,0.36600000000000005,0.26969761359922206,0.36600000000000005,0.24500000000000366,0.36600000000000005,0.28500000000000536,0.36600000000000005,0.248803530565549,0.36600000000000005,0.25000000000000555,0.36600000000000005,0.25527950310559516,0.36600000000000005,0.25500817260543246,113.20754716981132
0.368,0.29568649885583903,0.368,0.26217718208565466,0.368,0.32119646943445956,0.368,0.28548381824126023,0.368,0.505000000000002,0.368,0.270483818241262,0.368,0.24500000000000366,0.368,0.28500000000000536,0.368,0.2482984635501845,0.368,0.25000000000000555,0.368,0.2556832298136697,0.368,0.2546747303040268,113.20754716981132
